Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,WAS,NBA,C,75,14,15.2,2.5,5.2,.494,0.0,0.0,None,2.5,5.2,.494,.494,1.4,2.2,.660,1.6,2.3,3.9,0.3,0.4,1.0,0.8,2.1,6.5
2009-10,22,WAS,NBA,C,60,19,16.1,2.6,5.1,.508,0.0,0.0,.000,2.6,5.1,.510,.508,1.2,1.9,.638,1.5,2.6,4.1,0.2,0.3,1.7,0.9,2.0,6.4
2010-11,23,WAS,NBA,C,79,75,27.8,4.2,7.6,.550,0.0,0.0,.000,4.2,7.6,.552,.550,1.7,2.9,.583,2.8,5.2,8.0,0.5,0.5,2.4,1.3,2.9,10.1
2011-12,24,TOT,NBA,C,61,45,25.2,5.0,9.0,.556,0.0,0.0,None,5.0,9.0,.556,.556,1.3,2.7,.461,2.7,5.1,7.8,0.5,0.6,2.2,1.4,2.7,11.3
2011-12,24,WAS,NBA,C,41,40,27.4,5.2,9.8,.535,0.0,0.0,None,5.2,9.8,.535,.535,1.4,2.8,.500,3.1,5.7,8.8,0.6,0.6,2.5,1.7,2.9,11.9
2011-12,24,DEN,NBA,C,20,5,20.6,4.7,7.6,.612,0.0,0.0,None,4.7,7.6,.612,.612,1.0,2.6,.373,1.8,4.0,5.8,0.3,0.5,1.6,1.0,2.4,10.3
2012-13,25,DEN,NBA,C,79,0,18.1,3.8,6.7,.575,0.0,0.0,1.000,3.8,6.7,.574,.576,1.4,2.4,.591,2.0,2.8,4.8,0.3,0.4,2.0,1.1,2.3,9.1
2013-14,26,DEN,NBA,C,5,5,15.8,3.4,7.6,.447,0.0,0.0,None,3.4,7.6,.447,.447,0.2,0.2,1.000,2.0,1.4,3.4,0.4,0.2,1.4,1.6,3.2,7.0
2014-15,27,TOT,NBA,C,23,0,11.1,1.8,3.4,.532,0.0,0.0,None,1.8,3.4,.532,.532,1.0,1.4,.667,0.8,1.9,2.7,0.1,0.1,0.9,0.8,1.3,4.6
2014-15,27,DEN,NBA,C,17,0,11.5,2.0,3.6,.557,0.0,0.0,None,2.0,3.6,.557,.557,1.2,1.7,.690,0.8,2.0,2.8,0.1,0.1,1.1,0.8,1.6,5.2
2014-15,27,PHI,NBA,C,6,0,10.2,1.3,3.0,.444,0.0,0.0,None,1.3,3.0,.444,.444,0.3,0.7,.500,0.7,1.5,2.2,0.3,0.0,0.2,0.8,0.3,3.0
2015-16,28,DAL,NBA,C,34,2,10.9,2.3,3.9,.575,0.0,0.0,.000,2.3,3.9,.579,.575,0.5,1.1,.500,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1
2016-17,29,GSW,NBA,C,77,10,9.6,2.7,4.1,.652,0.0,0.0,.000,2.7,4.1,.658,.652,0.7,1.4,.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1
2017-18,30,GSW,NBA,C,65,17,9.5,2.1,3.4,.621,0.0,0.1,.000,2.1,3.3,.638,.621,0.6,0.8,.731,0.9,1.7,2.6,0.5,0.3,0.9,0.4,1.4,4.8
2018-19,31,LAL,NBA,C,75,62,22.3,5.3,8.5,.624,0.0,0.2,.083,5.3,8.4,.634,.625,1.3,2.0,.632,2.6,4.9,7.5,0.7,0.6,2.0,1.4,2.8,12.0
2019-20,32,LAL,NBA,C,68,68,16.6,2.9,4.5,.637,0.0,0.1,.500,2.8,4.4,.640,.642,0.8,1.2,.646,1.8,3.9,5.7,0.5,0.5,1.4,0.8,2.3,6.6
2020-21,33,TOT,NBA,C,46,2,14.7,3.1,6.1,.511,0.1,0.5,.208,3.0,5.6,.539,.520,1.0,1.5,.657,1.7,3.5,5.2,0.8,0.4,1.2,1.3,2.6,7.3
2020-21,33,CLE,NBA,C,33,1,15.2,3.4,6.5,.521,0.2,0.6,.250,3.2,5.9,.549,.533,1.1,1.7,.655,1.6,3.5,5.2,1.0,0.5,1.2,1.4,2.4,8.0
2020-21,33,DEN,NBA,C,13,1,13.5,2.5,5.2,.478,0.0,0.3,.000,2.5,4.8,.508,.478,0.6,0.9,.667,1.8,3.5,5.3,0.5,0.2,1.1,1.2,3.2,5.5
2021-22,34,PHO,NBA,C,25,7,15.9,4.5,6.9,.657,0.0,0.1,.500,4.5,6.8,.659,.660,1.4,2.1,.660,2.6,4.7,7.3,0.6,0.3,0.9,1.6,2.4,10.5
